025BB56F 39564655    		 026052CF  
025BAC67 39562343    		 026052CF  
025BB004 39563268	 		 026052CF  
025BB3A1 39564193			 02605179  
025BAE36 39562806			 026052CF  
025BAC67 39562343			 026054A1  
025BB73D 39565117			 026050FD  
025BAC67 39562343 			 026050FD  
025BAE36 39562806 			 02605A16  
025BB6DA 39565018 			 026052CF  
025BAF60 39563104 			 026052CF  
025BAE36 39562806 			 02605844  
025BB56F 39564655 			 02604F2B  
025BB004 39563268 			 02604FA7  
025BB004 39563268 			 02605672  
025BB3A1 39564193 			 026050FD  
025BB1D2 39563730 			 026052CF  
025BAE36 39562806 			 026054A1  
025BB3A1 39564193 			 026050FD  
025BB6DA 39565018 			 026050FD  
025BAD91 39562641 			 026050FD  
025BAE36 39562806 			 02605672  
025BBA77 39565943 			 026054A1  
025BB1D2 39563730 			 02605179  
025BAE36 39562806 			 02605844  
025BBA77 39565943 			 026050FD  
025BB004 39563268 			 026050FD  
025BAE36 39562806 			 02605844  
025BB73D 39565117 			 026052CF  
025BAE36 39562806 			 026052CF  
025BAE36 39562806 			 02605844  
025BB6DA 39565018 			 02605179  
025BB56F 39564655 			 026052CF  
025BB004 39563268 			 026054A1  
025BB16F 39563631 			 02605672  
025BB56F 39564655 			 026052CF  
025BB004 39563268			 026054A1  
025BB004 39563268 			 026052CF  
025BB90C 39565580 			 026050FD  
025BB004 39563268 			 026050FD  
025BB3A1 39564193 			 02605BE8  
025BB90C 39565580 			 026050FD  
025BAE36 39562806 			 026052CF  
025BAFA1 39563169 			 02605BE8  
025BB8A8 39565480 			 026054A1  
025BB1D2 39563730 			 02605672  
025BB1D2 39563730 			 02605BE8  
025BB6DA 39565018 			 026054A1  
025BB50C 39564556 			 026054A1  
025BB3A1 39564193 			 02605A16  
025BB6DA 39565018 			 02605179  
025BB6DA 39565018 			 026054A1  
025BB1D2 39563730 			 02605672  
025BB1D2 39563730 			 02605DBA  
025BBA77 39565943 			 026052CF  
025BB1D2 39563730 			 026050FD  
025BB004 39563268 			 02605BE8  
025BB8A8 39565480 			 026054A1  
025BB004 39563268 			 026050FD  
025BB1D2 39563730 			 02605BE8  
025BBADA 39566042 			 026050FD  
025BB1D2 39563730 			 026054A1  
025BB004 39563268 			 02605A16  
025BB6DA 39565018 			 026052CF  
025BB3A1 39564193 			 026054A1  
025BB004 39563268 			 02605A16  
025BB6DA 39565018 			 026052CF  
025BB6DA 39565018 			 026052CF  
025BAE36 39562806 			 026052CF  
025BAE36 39562806 			 02605BE8  
025BB8A8 39565480 			 026054A1  
025BB004 39563268 			 02605179 
025BAE36 39562806 			 02605BE8  
025BBA77 39565943 			 026052CF 
025BAC67 39562343 			 02604FA7  
025BB004 39563268 			 02605BE8  
025BBA77 39565943 			 02604F2B  
025BAE36 39562806 			 026050FD  
025BB004 39563268 			 02605DBA  
025BBA77 39565943 			 026052CF  
025BB56F 39564655 			 026054A1  
025BB3A1 39564193 			 02605BE8  
025BB004 39563268 			 02605672  
025BB50C 39564556 			 026052CF  
025BB004 39563268 			 02605844  
025BB1D2 39563730 			 02605A16  
025BB8A8 39565480 			 026054A1  
025BB16F 39563631 			 026052CF  
025BB1D2 39563730 			 02605A16  
025BBA77 39565943 			 026052CF  
025BB004 39563268 			 026050FD  
025BB1D2 39563730 			 02605F8C  
025BBC45 39566405 			 026050FD  
025BB1D2 39563730 			 026050FD  
025BB33D 39564093 			 02605DBA  
025BB3A1 39564193 			 02605844  
025BB3A1 39564193 			 026052CF  
025BB3A1 39564193 			 02605A16  
025BB56F 39564655 			 02605844  
025BB73D 39565117 			 026054A1  
025BB1D2 39563730 			 02605672  
025BB1D2 39563730 			 02605672  
025BB6DA 39565018 			 02605672  
025BB1D2 39563730 			 026052CF  
025BB33D 39564093 			 02605BE8  
025BBA77 39565943 			 026050FD  
025BB3A1 39564193 			 02605179  
025BB1D2 39563730 			 02605A16  
025BBC45 39566405 			 026050FD  
025BB3A1 39564193 			 02604F2B  
025BB3A1 39564193 			 02605DBA  
025BB3A1 39564193 			 026054A1  
025BB1D2 39563730 			 02604F2B  
025BB33D 39564093 			 02605BE8  
025BB1D2 39563730 			 026054A1  
025BB1D2 39563730 			 02605844  
025BB1D2 39563730 			 026054A1  
025BB8A8 39565480 			 02604F2B  
025BB16F 39563631 			 026052CF  
025BB1D2 39563730 			 02605A16  
025BBC45 39566405 			 02605179  
025BB16F 39563631 			 0260534B  
025BB1D2 39563730 			 02605844  
025BBE13 39566867 			 026050FD  
025BB3A1 39564193 			 02604F2B  
025BB56F 39564655 			 02605A16  
025BB90C 39565580 			 02604F2B  
025BB50C 39564556 			 026050FD  
025BB33D 39564093 			 02605BE8  
025BB50C 39564556 			 026050FD  
025BB3A1 39564193 			 026052CF  
025BB33D 39564093 			 02605A16  
025BB3A1 39564193			 02605672  
025BB56F 39564655 			 02605179  
025BB56F 39564655 			 02605672  
025BB3A1 39564193 			 026054A1  
025BBE13 39566867 			 026052CF  
025BB1D2 39563730 			 02605672  
025BB004 39563268 			 02605844  
025BBC45 39566405 			 026050FD  
025BB1D2 39563730 			 02605179  
025BB16F 39563631 			 02605A16  
025BBADA 39566042 			 026052CF  
025BB1D2 39563730 			 026052CF  
025BB50C 39564556 			 02605BE8  
025BB8A8 39565480 			 026052CF  
025BB1D2 39563730 			 02604FA7  
025BB3A1 39564193 			 02605BE8  
025BB73D 39565117 			 026052CF  
025BBA77 39565943 			 026054A1  
